revised_movement_label,segBoundary_start,segBoundary_end,frame_length,average_speed,average_back_height
left_turning,49811,49851,40,108.81608425400522,33.96176642178826
stepping,49852,49893,41,83.6854889572893,32.97557790480661
walking,49894,49932,38,131.79733457840675,38.08545316778351
sniffing,49933,49954,21,60.234601613376874,36.793962181553816
rising,49955,50009,54,20.975605654660548,39.172988255866784
sniffing,50010,50089,79,68.999780363434,37.47360479795172
walking,50090,50117,27,157.45822458728495,38.54908063704729
grooming,50118,50131,13,34.71704637477059,45.82536921492986
left_turning,50132,50153,21,58.433039191247325,32.99987577674975
sniffing,50154,50236,82,56.07121058347776,30.431931449958622
stepping,50237,50281,44,89.17825176856012,33.0139581132579
sniffing,50282,50335,53,30.49582562703724,30.052877520365517
climbing,50336,50414,78,41.032246572866555,52.564517970582585
rising,50415,50449,34,34.169507840560605,33.30124026144602
right_turning,50450,50467,17,100.42056172130714,32.74276429159698
walking,50468,50508,40,202.1795389059967,34.5567388471724
rising,50509,50547,38,63.59646714053357,34.38639088548471
climbing,50548,50581,33,43.921016458296286,47.332479833409025
stepping,50582,50593,11,86.94740531748614,34.35425795293923
left_turning,50594,50647,53,146.69662138516756,38.62290580079403
walking,50648,50688,40,154.52728672323624,34.556862749026294
sniffing,50689,50725,36,36.675885368465735,31.211979418867756
left_turning,50726,50759,33,66.58191696542465,31.63130768497997
sniffing,50760,50780,20,43.464106143055815,30.467031847202293
left_turning,50781,50804,23,84.15105131921479,32.91269082864366
sniffing,50805,50844,39,47.32281524426078,36.68341795494136
walking,50845,50864,19,89.4777332608107,40.76884316874032
rearing,50865,50878,13,33.59644350634535,43.22227395420977
sniffing,50879,50981,102,12.5011999382827,41.418854033954354
rearing,50982,51041,59,17.607936361773522,44.13414686339933
grooming,51042,51091,49,19.812984313427496,41.272380719929444
walking,51092,51112,20,69.38999615185321,42.21389182971727
rising,51113,51133,20,52.93323338453704,44.412155584027836
walking,51134,51196,62,126.42916090082664,41.30561624885029
rearing,51197,51219,22,43.16942569800985,45.231159435544896
left_turning,51220,51240,20,115.57787486999004,32.85622911401006
sniffing,51241,51267,26,51.14357540450932,26.780112820998188
climbing,51268,51361,93,35.96250656447103,54.81982523001791
left_turning,51362,51370,8,121.45388982228909,37.37446931276158
walking,51371,51394,23,152.24404572049477,38.521694104021414
sniffing,51395,51441,46,23.395032836560514,37.61764692766608
left_turning,51442,51454,12,60.15498858184781,36.868701946418724
sniffing,51455,51496,41,31.53007395100395,38.595204490142464
rising,51497,51511,14,33.48026474704098,40.06388149018947
sniffing,51512,51565,53,14.712127470153526,34.59303614505801
rising,51566,51601,35,9.372624076813063,36.53607105214279
sniffing,51602,51634,32,16.569790587099288,34.48272362968004
rising,51635,51741,106,57.844039869591924,32.55824437273161
sniffing,51742,51803,61,57.77008804289965,30.773727691741122
right_turning,51804,51832,28,68.14344821462264,31.53966211015714
left_turning,51833,51854,21,93.8043159739214,29.331303531869743
right_turning,51855,51869,14,96.23287005898503,34.50102350664019
left_turning,51870,51938,68,138.35234395859507,33.34164164868208
walking,51939,51960,21,158.32156351879107,35.63923891640008
climbing,51961,52044,83,47.576138516626095,51.39768406049583
left_turning,52045,52052,7,164.72484204621236,37.6902173482668
sniffing,52053,52121,68,29.851397974470498,34.27737615768445
rising,52122,52132,10,88.54010273069972,35.84931056655477
climbing,52133,52168,35,59.46252914090225,49.86646403969711
left_turning,52169,52188,19,88.9532013251874,33.79170048870522
rising,52189,52219,30,75.69820289270383,34.113324967183054
sniffing,52220,52266,46,56.54791028737025,33.67675811371937
climbing,52267,52294,27,58.505254165257675,54.74863290738655
hunching,52295,52298,3,86.92448338243975,41.55084476517481
right_turning,52299,52313,14,98.02569054296325,34.400365699362006
walking,52314,52351,37,174.14660199202146,35.02755669181008
rising,52352,52368,16,48.873604994248325,49.309933718562135
climbing,52369,52411,42,43.78156606719706,56.43474450280883
sniffing,52412,52499,87,31.136212246325126,35.86434456609704
grooming,52500,52559,59,18.62395454767112,39.10970547559611
rising,52560,52619,59,19.34435066793077,42.195907974380575
rearing,52620,52814,194,21.530650208097864,41.90968628483399
grooming,52815,52949,134,24.929607031209613,43.81412369755129
climbing,52950,52999,49,22.92630547532196,40.86168546553585
grooming,53000,53164,164,26.150525925759254,40.94565979826037
rearing,53165,53199,34,18.360866798688207,39.06370162255959
climbing,53200,53229,29,24.186342617737136,41.72698156143085
hunching,53230,53249,19,25.664227021178753,45.83345883735765
rearing,53250,53284,34,21.872736257629388,45.2142241558699
grooming,53285,53519,234,26.867520726486102,41.46066475931917
rearing,53520,53549,29,36.577297655635,41.928127403895665
hunching,53550,53564,14,28.341599176745927,42.913208444267745
rearing,53565,53589,24,26.22325337093053,43.36786551232675
grooming,53590,53694,104,24.086822883627892,42.402785676199976
sniffing,53695,53814,119,20.606249346888482,42.004737179416196
grooming,53815,54204,389,26.768681105825905,39.851895765314055
rearing,54205,54252,47,27.44762240799363,41.70203924656142
rising,54253,54273,20,21.404405523914257,40.68018611104502
hunching,54274,54333,59,21.031308309496456,40.4512795667372
grooming,54334,54436,102,20.29664967346786,42.20032014246018
hunching,54437,54467,30,30.225950184158393,42.24616540321168
grooming,54468,54557,89,30.016051412249904,39.96463682809943
climbing,54558,54585,27,21.018447223411037,40.824160176490935
hunching,54586,54645,59,23.46773311115017,41.77397082448685
rising,54646,54695,49,21.42781332836931,40.90989414616943
rearing,54696,54720,24,21.7151808702777,40.741376006232365
climbing,54721,54771,50,19.596767775083407,42.16863434954937
grooming,54772,54871,99,34.73787708255542,37.07850434961993
hunching,54872,54884,12,39.74104990298287,40.08845756147234
grooming,54885,54934,49,22.473872622957764,40.55642502727673
hunching,54935,54964,29,27.290044293862305,40.06673867590802
rising,54965,54979,14,26.194622517980978,39.41574050559981
hunching,54980,55039,59,23.15757435850819,40.9755266824426
climbing,55040,55074,34,24.146869523530345,42.02672288245463
grooming,55075,55834,759,23.604963731359238,36.23089239467825
sniffing,55835,55954,119,19.077251871007675,40.968245683491325
grooming,55955,56049,94,26.391814541910616,39.133241608339766
climbing,56050,56113,63,34.39706501722644,40.827006707260104
grooming,56114,56188,74,29.317025339115194,39.22691271336625
rising,56189,56229,40,54.89587331670559,36.627162540793194
