revised_movement_label,segBoundary_start,segBoundary_end,frame_length,average_speed,average_back_height
rising,70170,70239,69,22.68362253002204,30.171602787203476
sniffing,70240,70261,21,18.675841251432054,27.852296293117004
rising,70262,70272,10,22.214094959491455,30.578715995634717
sniffing,70273,70342,69,37.60531073308443,30.680260036998074
grooming,70343,70387,44,27.1371377511838,37.18009743721205
sniffing,70388,70475,87,53.68406832020501,36.14538478284744
rearing,70476,70500,24,31.014060944398178,35.41722322232438
grooming,70501,70540,39,26.4503883077713,37.02269886277987
sniffing,70541,70735,194,38.10612634999124,30.41498958534042
rising,70736,70765,29,27.37746509996151,36.56906462797635
right_turning,70766,70789,23,54.17199150808212,31.368855300634333
sniffing,70790,70799,9,75.25476450103163,35.88937280605279
rising,70800,70851,51,40.92778201236002,37.05437129266296
sniffing,70852,70907,55,43.387860207706005,36.01448087747786
stepping,70908,70946,38,81.28389818173976,28.08317687324123
sniffing,70947,70950,3,61.22082673135367,28.961497897134105
rising,70951,70985,34,35.74603430518096,36.494569339158225
climbing,70986,71045,59,33.79290691354093,48.42915790431323
right_turning,71046,71050,4,113.64746991344688,31.5807493419028
walking,71051,71063,12,85.24873520244316,36.11247870220347
rearing,71064,71088,24,24.658139983623993,39.60247957060529
rising,71089,71112,23,63.62019881284832,33.65506327406178
rearing,71113,71172,59,24.543173483753005,37.39399640479725
climbing,71173,71217,44,23.519205868286964,44.91549115700873
rearing,71218,71262,44,41.591784627350684,35.74089301069985
climbing,71263,71297,34,16.2534002046339,34.9413927077662
hunching,71298,71307,9,33.52809977249458,34.273743676197256
walking,71308,71315,7,88.59922013756574,29.989036736808128
left_turning,71316,71338,22,111.39870053017769,34.73847778276549
climbing,71339,71413,74,44.03151648196995,50.18554534988032
hunching,71414,71468,54,28.85763794851806,35.898070802058605
sniffing,71469,71479,10,35.78089582917085,28.89166703352919
rising,71480,71536,56,39.75145211041157,33.296660796542355
walking,71537,71599,62,145.11656151044085,32.46520281238232
rearing,71600,71609,9,41.72693803106529,38.37121727088504
grooming,71610,71639,29,32.9191474354564,38.7582558650138
sniffing,71640,71704,64,59.911295468522944,27.294816161456968
climbing,71705,71769,64,32.29323646053976,42.850400816399116
right_turning,71770,71784,14,80.631800278506,32.054555524273084
