,revised_movement_label,step_type,bouts,valley_time_gap,vally_value,peak_time_gap,peak_value,group
25,trotting,distance1,18,6.75,41.31572337201708,5.666666666666667,52.63822087594353,Morning_lightOn
26,trotting,distance1,19,8.0,44.33330508117607,7.5,52.12438933518354,Morning_lightOn
27,trotting,distance1,20,6.666666666666667,43.45875423041953,7.0,54.58707988047093,Morning_lightOn
28,trotting,distance1,21,7.0,43.75460787058274,6.714285714285714,52.44098212137338,Morning_lightOn
29,trotting,distance1,22,7.0,44.72382954826144,7.25,58.40987891643617,Morning_lightOn
30,trotting,distance1,23,7.5,48.4483705729701,6.333333333333333,54.74916053805352,Morning_lightOn
31,trotting,distance1,24,7.333333333333333,43.34423326512773,7.25,54.89410878921757,Morning_lightOn
32,trotting,distance1,25,6.7272727272727275,45.0176247462349,7.25,53.286147126019436,Morning_lightOn
33,trotting,distance1,26,6.5,41.67661620303456,6.0,56.3282918497227,Morning_lightOn
34,trotting,distance1,27,6.5,43.94313269816252,7.0,57.71065308732407,Morning_lightOn
35,trotting,distance1,28,7.333333333333333,42.84804429696483,6.5,51.552361165654794,Morning_lightOn
36,trotting,distance1,29,8.5,46.506923504488505,8.0,57.083547639388044,Morning_lightOn
37,trotting,distance1,30,5.0,45.952842402451566,5.0,54.36074479893057,Morning_lightOn
38,trotting,distance1,31,8.75,46.51491665635214,8.6,56.28707991003691,Morning_lightOn
