revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
rising,30833,30784,30833,49
hunching,30892,30833,30892,59
climbing,30963,30892,30963,71
trotting,31006,30963,31006,43
rising,31090,31006,31090,84
climbing,31169,31090,31169,79
rising,31175,31169,31175,6
hunching,31243,31175,31243,68
climbing,31272,31243,31272,29
sniffing,31273,31272,31273,1
rising,31274,31273,31274,1
trotting,31278,31274,31278,4
walking,31309,31278,31309,31
right_turning,31361,31309,31361,52
trotting,31394,31361,31394,33
stepping,31395,31394,31395,1
left_turning,31459,31395,31459,64
walking,31471,31459,31471,12
rising,31472,31471,31472,1
climbing,31550,31472,31550,78
rearing,31641,31550,31641,91
climbing,31667,31641,31667,26
hunching,31701,31667,31701,34
right_turning,31764,31701,31764,63
walking,31783,31764,31783,19
climbing,31803,31783,31803,20
trotting,31810,31803,31810,7
left_turning,31879,31810,31879,69
sniffing,31914,31879,31914,35
left_turning,31916,31914,31916,2
rearing,31939,31916,31939,23
sniffing,31964,31939,31964,25
climbing,32029,31964,32029,65
walking,32031,32029,32031,2
sniffing,32069,32031,32069,38
hunching,32145,32069,32145,76
walking,32213,32145,32213,68
rising,32238,32213,32238,25
right_turning,32257,32238,32257,19
stepping,32272,32257,32272,15
left_turning,32273,32272,32273,1
trotting,32274,32273,32274,1
left_turning,32277,32274,32277,3
sniffing,32397,32277,32397,120
rising,32413,32397,32413,16
climbing,32426,32413,32426,13
walking,32477,32426,32477,51
sniffing,32744,32477,32744,267
rising,32780,32744,32780,36
climbing,32840,32780,32840,60
rearing,32884,32840,32884,44
rising,32885,32884,32885,1
grooming,32886,32885,32886,1
walking,32914,32886,32914,28
left_turning,32950,32914,32950,36
sniffing,32951,32950,32951,1
rising,32964,32951,32964,13
right_turning,33011,32964,33011,47
left_turning,33033,33011,33033,22
stepping,33079,33033,33079,46
walking,33121,33079,33121,42
climbing,33167,33121,33167,46
rising,33209,33167,33209,42
rearing,33210,33209,33210,1
grooming,33235,33210,33235,25
trotting,33284,33235,33284,49
left_turning,33319,33284,33319,35
climbing,33394,33319,33394,75
right_turning,33435,33394,33435,41
running,33467,33435,33467,32
sniffing,33560,33467,33560,93
right_turning,33587,33560,33587,27
walking,33603,33587,33603,16
stepping,33652,33603,33652,49
rising,33699,33652,33699,47
trotting,33700,33699,33700,1
walking,33728,33700,33728,28
left_turning,33861,33728,33861,133
trotting,33880,33861,33880,19
rising,33902,33880,33902,22
left_turning,33960,33902,33960,58
walking,34000,33960,34000,40
climbing,34046,34000,34046,46
rising,34077,34046,34077,31
sniffing,34169,34077,34169,92
left_turning,34201,34169,34201,32
running,34231,34201,34231,30
stepping,34242,34231,34242,11
walking,34282,34242,34282,40
climbing,34350,34282,34350,68
trotting,34395,34350,34395,45
stepping,34435,34395,34435,40
sniffing,34436,34435,34436,1
stepping,34439,34436,34439,3
right_turning,34463,34439,34463,24
sniffing,34478,34463,34478,15
trotting,34522,34478,34522,44
rising,34548,34522,34548,26
climbing,34604,34548,34604,56
rising,34605,34604,34605,1
climbing,34613,34605,34613,8
sniffing,34691,34613,34691,78
rising,34692,34691,34692,1
sniffing,34693,34692,34693,1
running,34714,34693,34714,21
sniffing,34735,34714,34735,21
stepping,34749,34735,34749,14
climbing,34791,34749,34791,42
jumping,34838,34791,34838,47
rising,34844,34838,34844,6
climbing,34940,34844,34940,96
right_turning,35017,34940,35017,77
walking,35021,35017,35021,4
rearing,35022,35021,35022,1
hunching,35098,35022,35098,76
sniffing,35202,35098,35202,104
left_turning,35262,35202,35262,60
walking,35342,35262,35342,80
sniffing,35457,35342,35457,115
walking,35489,35457,35489,32
