revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
sniffing,29109,28997,29109,112
rising,29138,29109,29138,29
grooming,29259,29138,29259,121
rearing,29260,29259,29260,1
grooming,29281,29260,29281,21
stepping,29336,29281,29336,55
rearing,29407,29336,29407,71
grooming,29546,29407,29546,139
sniffing,29547,29546,29547,1
walking,29551,29547,29551,4
sniffing,29567,29551,29567,16
grooming,29751,29567,29751,184
trotting,29812,29751,29812,61
left_turning,29831,29812,29831,19
sniffing,29892,29831,29892,61
stepping,29918,29892,29918,26
left_turning,29932,29918,29932,14
sniffing,29949,29932,29949,17
rising,30048,29949,30048,99
hunching,30156,30048,30156,108
grooming,30157,30156,30157,1
rearing,30214,30157,30214,57
walking,30264,30214,30264,50
sniffing,30384,30264,30384,120
rising,30392,30384,30392,8
sniffing,30502,30392,30502,110
stepping,30544,30502,30544,42
grooming,30685,30544,30685,141
climbing,30774,30685,30774,89
right_turning,30798,30774,30798,24
sniffing,30872,30798,30872,74
grooming,31118,30872,31118,246
trotting,31148,31118,31148,30
sniffing,31270,31148,31270,122
left_turning,31272,31270,31272,2
stepping,31302,31272,31302,30
grooming,31303,31302,31303,1
walking,31367,31303,31367,64
stepping,31425,31367,31425,58
sniffing,31536,31425,31536,111
walking,31561,31536,31561,25
sniffing,31591,31561,31591,30
left_turning,31592,31591,31592,1
sniffing,31653,31592,31653,61
running,31672,31653,31672,19
climbing,31695,31672,31695,23
rising,31735,31695,31735,40
rearing,31801,31735,31801,66
hunching,31862,31801,31862,61
rearing,31930,31862,31930,68
rising,31941,31930,31941,11
climbing,31981,31941,31981,40
sniffing,32025,31981,32025,44
grooming,32399,32025,32399,374
walking,32517,32399,32517,118
sniffing,32678,32517,32678,161
trotting,32707,32678,32707,29
grooming,32778,32707,32778,71
hunching,32789,32778,32789,11
rearing,32835,32789,32835,46
grooming,33057,32835,33057,222
running,33058,33057,33058,1
sniffing,33059,33058,33059,1
grooming,33327,33059,33327,268
stepping,33388,33327,33388,61
walking,33448,33388,33448,60
stepping,33480,33448,33480,32
sniffing,33525,33480,33525,45
stepping,33543,33525,33543,18
grooming,33648,33543,33648,105
rising,33666,33648,33666,18
climbing,33709,33666,33709,43
walking,33741,33709,33741,32
stepping,33755,33741,33755,14
rising,33770,33755,33770,15
left_turning,33783,33770,33783,13
grooming,33935,33783,33935,152
rising,33959,33935,33959,24
sniffing,34056,33959,34056,97
right_turning,34057,34056,34057,1
sniffing,34117,34057,34117,60
walking,34122,34117,34122,5
grooming,34166,34122,34166,44
rearing,34219,34166,34219,53
hunching,34268,34219,34268,49
grooming,34358,34268,34358,90
climbing,34432,34358,34432,74
grooming,34481,34432,34481,49
hunching,34559,34481,34559,78
rising,34587,34559,34587,28
left_turning,34609,34587,34609,22
grooming,34610,34609,34610,1
rearing,34633,34610,34633,23
rising,34666,34633,34666,33
sniffing,34713,34666,34713,47
walking,34714,34713,34714,1
trotting,34727,34714,34727,13
sniffing,34759,34727,34759,32
rising,34795,34759,34795,36
stepping,34855,34795,34855,60
sniffing,34938,34855,34938,83
walking,34939,34938,34939,1
stepping,34967,34939,34967,28
climbing,35041,34967,35041,74
grooming,35190,35041,35190,149
hunching,35224,35190,35224,34
rising,35274,35224,35274,50
climbing,35308,35274,35308,34
sniffing,35385,35308,35385,77
stepping,35429,35385,35429,44
walking,35469,35429,35469,40
sniffing,35470,35469,35470,1
grooming,35482,35470,35482,12
left_turning,35483,35482,35483,1
rising,35523,35483,35523,40
climbing,35536,35523,35536,13
rising,35608,35536,35608,72
climbing,35710,35608,35710,102
walking,35749,35710,35749,39
sniffing,35847,35749,35847,98
right_turning,35875,35847,35875,28
trotting,35919,35875,35919,44
sniffing,35959,35919,35959,40
rising,36013,35959,36013,54
hunching,36014,36013,36014,1
grooming,36422,36014,36422,408
walking,36429,36422,36429,7
stepping,36488,36429,36488,59
rearing,36534,36488,36534,46
climbing,36535,36534,36535,1
grooming,36826,36535,36826,291
running,36851,36826,36851,25
walking,36886,36851,36886,35
sniffing,37021,36886,37021,135
walking,37087,37021,37087,66
sniffing,37155,37087,37155,68
right_turning,37191,37155,37191,36
trotting,37219,37191,37219,28
sniffing,37241,37219,37241,22
stepping,37257,37241,37257,16
rising,37267,37257,37267,10
rearing,37310,37267,37310,43
stepping,37360,37310,37360,50
rearing,37376,37360,37376,16
grooming,37377,37376,37377,1
sniffing,37414,37377,37414,37
rising,37487,37414,37487,73
grooming,37488,37487,37488,1
hunching,37503,37488,37503,15
grooming,37709,37503,37709,206
walking,37731,37709,37731,22
stepping,37815,37731,37815,84
sniffing,37827,37815,37827,12
grooming,37837,37827,37837,10
stepping,37894,37837,37894,57
walking,37957,37894,37957,63
stepping,38005,37957,38005,48
rising,38043,38005,38043,38
sniffing,38247,38043,38247,204
rising,38256,38247,38256,9
stepping,38277,38256,38277,21
rising,38308,38277,38308,31
sniffing,38419,38308,38419,111
stepping,38452,38419,38452,33
walking,38521,38452,38521,69
stepping,38571,38521,38571,50
walking,38572,38571,38572,1
sniffing,38625,38572,38625,53
stepping,38672,38625,38672,47
sniffing,38741,38672,38741,69
rising,38759,38741,38759,18
rearing,38772,38759,38772,13
grooming,39027,38772,39027,255
sniffing,39077,39027,39077,50
walking,39078,39077,39078,1
rising,39175,39078,39175,97
stepping,39221,39175,39221,46
sniffing,39327,39221,39327,106
grooming,39411,39327,39411,84
rearing,39412,39411,39412,1
right_turning,39453,39412,39453,41
running,39470,39453,39470,17
rising,39473,39470,39473,3
sniffing,39606,39473,39606,133
walking,39689,39606,39689,83
right_turning,39693,39689,39693,4
stepping,39735,39693,39735,42
climbing,39827,39735,39827,92
trotting,39846,39827,39846,19
climbing,39954,39846,39954,108
sniffing,39955,39954,39955,1
grooming,40144,39955,40144,189
rearing,40210,40144,40210,66
climbing,40211,40210,40211,1
left_turning,40275,40211,40275,64
grooming,40327,40275,40327,52
running,40365,40327,40365,38
stepping,40409,40365,40409,44
sniffing,40547,40409,40547,138
stepping,40576,40547,40576,29
running,40615,40576,40615,39
stepping,40622,40615,40622,7
trotting,40661,40622,40661,39
sniffing,40662,40661,40662,1
walking,40666,40662,40666,4
rising,40684,40666,40684,18
climbing,40770,40684,40770,86
grooming,40801,40770,40801,31
left_turning,40802,40801,40802,1
grooming,40871,40802,40871,69
stepping,40894,40871,40894,23
sniffing,41070,40894,41070,176
stepping,41071,41070,41071,1
sniffing,41072,41071,41072,1
walking,41156,41072,41156,84
sniffing,41157,41156,41157,1
left_turning,41158,41157,41158,1
grooming,41333,41158,41333,175
walking,41374,41333,41374,41
grooming,41447,41374,41447,73
walking,41583,41447,41583,136
rising,41609,41583,41609,26
left_turning,41610,41609,41610,1
walking,41678,41610,41678,68
rearing,41901,41678,41901,223
climbing,42009,41901,42009,108
grooming,42088,42009,42088,79
sniffing,42161,42088,42161,73
hunching,42247,42161,42247,86
grooming,42248,42247,42248,1
hunching,42281,42248,42281,33
rearing,42339,42281,42339,58
grooming,42340,42339,42340,1
sniffing,42402,42340,42402,62
stepping,42419,42402,42419,17
sniffing,42451,42419,42451,32
stepping,42487,42451,42487,36
climbing,42490,42487,42490,3
trotting,42552,42490,42552,62
left_turning,42633,42552,42633,81
walking,42691,42633,42691,58
stepping,42717,42691,42717,26
walking,42741,42717,42741,24
rearing,42809,42741,42809,68
grooming,42810,42809,42810,1
hunching,42811,42810,42811,1
rising,42947,42811,42947,136
left_turning,43008,42947,43008,61
walking,43064,43008,43064,56
sniffing,43307,43064,43307,243
hunching,43420,43307,43420,113
grooming,43577,43420,43577,157
scratching,43578,43577,43578,1
grooming,43703,43578,43703,125
left_turning,43735,43703,43735,32
sniffing,43736,43735,43736,1
walking,43900,43736,43900,164
rising,43968,43900,43968,68
walking,44039,43968,44039,71
right_turning,44092,44039,44092,53
sniffing,44124,44092,44124,32
rearing,44193,44124,44193,69
grooming,44374,44193,44374,181
walking,44397,44374,44397,23
sniffing,44442,44397,44442,45
grooming,44474,44442,44474,32
scratching,44475,44474,44475,1
